Unnamed: 0,FAUCETS,Unnamed: 1,SHOWER ENCLOSURES,Unnamed: 2
,CONTINENTAL PRIME,4,READY TO USE,36.0
,QUEENS PRIME,4,FRAMED,37.0
,ARC,5,FRAMELESS - IARA SERIES - 8MM,38.0
,KUBIX PRIME,5,FRAMELESS - IARA SERIES - 10MM,41.0
,OPAL PRIME,6,RITZ COLLECTIONS,44.0
,ORNAMIX PRIME,7,STARK SERIES,47.0
,VIGNETTE PRIME,8,ARTIFICIAL LEDGE,48.0
,ALIVE,8,STARK SERIES : BLACK ( BLM ),49.0
,DARC,9,NEW SQUARE HARDWARE SERIES,50.0
,LYRIC,10,SLIDING,51.0
,ARIA,10,AURA,52.0
,FONTE,11,OPTIMA STANDARD,52.0
,FUSION,12,NOVA,52.0
I,SOLO,13,STEAM,53.0
,QUEENS,14,SOLUTION FOR STEAM - ROOF,53.0
,FLORENTINE,15,SANITARYWARE,
,CLARION,17,ALIVE,54.0
,EKO,17,ARC,54.0
,CONTINENTAL,18,ARIA,54.0
N,SENSOR PRESSMATIC,19 20,BIDSPA  DARC,5454.0
,NEW AGE PRESSMATIC,20,CONTINENTAL,55.0
,MEDI SERIES,20,DISABLED,55.0
,SPOUT OPERATING TAPS,20,FLORENTINE,56.0
,AQUAMAX THERMOSTATE,20,FONTE,56.0
,THERMOSTATIC MIXERS,21,KUBIX,56.0
D,FLUSH VALVES I-FLUSH,22 22,FUSION JAQUAR DESIGNER BASIN,5757.0
,BATHTUB SPOUTS,22,OPAL,57.0
,ALLIED,23,LYRIC,58.0
,CONTINENTAL ACCESSORIES,24,ORNAMIX,58.0
,KUBIX PRIME ACCESSORIES,25,URINAL,58.0
E,,,,
,QUEENS ACCESSORIES,25,QUEENS PRIME,59.0
,HOTELIER ACCESSORIES,26,SOLO,59.0
,SHOWERS,,VIGNETTE,60.0
,BODY SHOWERS,27,WATER HEATERS,
,OVERHEAD SHOWERS,27,INSTA ELECTRIC,61.0
,HAND SHOWERS,28,ELENA VERTICAL MANUAL,61.0
,SHOWER  ACCESSORIES,29,ELENA+ VERTICAL MANUAL,61.0
X,WASHROOM ACCESSORIES ACCESSORIES - (FOR DISABLED),30 30,ERICA VERTICAL MANUAL ERICA VERTICAL DIGITAL,6161.0
,FLUSHING SYSTEMS,31,ELENA HORIZONTAL MANUAL,61.0
,FLUSHING PLATES,31,VERSA HORIZONTAL MANUAL,61.0
,WELLNESS,,VERSA VERTICAL MANUAL,61.0
,WHIRLPOOL,32,VERSA HORIZONTAL DIGITAL,62.0
,BATH TUB,32,ALEXA HORIZONTAL DIGITAL,62.0
,BATH TUB WITH MS FRAME,33,ELENA PRIME VERTICAL MANUAL,62.0
,BATH TUB PANEL,33,META VERTICAL MANUAL,62.0
,FREESTANDING BATH TUB,33,META VERTICAL SEMI DIGITAL,62.0
,ACCESSORIES- BATH TUB,34,INSTA GAS,62.0
,SHOWER PANEL,34,VERNA FLOOR MOUNTING,62.0
,STEAM SOLUTIONS,34,INTEGRA-X MONOBLOC HEAT PUMP,62.0
,SPA,35,INTEGRA SPLIT HEAT PUMP,63.0
