PART CODE Description,Unnamed: 0,NRP
COP-CHR-001BPM Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses,,"2,940"
COP-CHR-051BPM Single Lever Basin Mixer with Popup Waste with 450mm Long Braided Hoses,,"3,750"
"COP-CHR-005BPM Single Lever Tall Boy without Popup Waste System, with 600mm Long Braided Hoses",,"3,910"
"COP-CHR-119PM Single Lever Wall Mixer with Provision of Hand Shower, But without Hand Shower",,"4,200"
"COP-CHR-227KPM Single Lever Exposed Parts Kit of Deusch Mixer Consisting of Operating Lever, Cartridge Sleeve & Wall Flange",,870
with Seals (Compatible with ALD-227 & ALD-229),,
"COP-CHR-055KPM Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with",,"1,090"
Seals) Button Assembly Sleeve & Button (Compatible with ALD-055N),,
COP-CHR-179BPM Side Single Lever Sink Mixer with Swinging Spout (Table Mounted) with 450mm Long Braided Hoses,,"3,790"
COP-CHR-213BPM Single Lever 1-Hole Bidet Mixer with Popup Waste System with 375mm Long Braided Hoses,,"3,750"
COP-CHR-167BPM Central Hole Basin Mixer without Popup Waste System with 450mm Long Braided Hoses,,"3,500"
COP-CHR-169BPM Central Hole Basin Mixer with Popup Waste System with 450mm Long Braided Hoses,,"4,300"
COP-CHR-011PM Pillar Cock,,"1,350"
COP-CHR-021PM Pillar Cock with Extension Body,,"2,130"
COP-CHR-209PM Shower Mixer for Shower Cubicles (Wall Mounted) with Connecting Legs & Flanges,,"2,740"
"COP-CHR-273PM Wall Mixer with Provision for Overhead Shower with 115mm Long Bend Pipe On Upper Side, Connecting Legs &",,"5,410"
Wall Flanges,,
COP-CHR-281PM Wall Mixer 3-in-1 System with Provision for both Hand Shower and Overhead Shower Complete with 115mm,,"5,930"
"Long Bend Pipe, Connecting Legs & Wall Flange (without Hand & Overhead Shower)",,
COP-CHR-309PM Sink Mixer with Pipe Swinging Spout (Wall Mounted Model) with Connecting Legs & Wall Flanges,,"3,350"
COP-CHR-347PM Sink Cock with Pipe Swinging Spout (Wall Mounted Model) with Wall Flange,,"1,700"
COP-CHR-037PM Bib Cock with Wall Flange,,"1,230"
COP-CHR-107PM Long Body Bib Cock with Wall Flange,,"1,520"
COP-CHR-041PM 2-way Bib Cock with Wall Flange,,"1,340"
COP-CHR-057PM Angular Stop Cock with Wall Flange,,"1,020"
"COP-CHR-083KPM Exposed Part Kit of Concealed Stop Cock with Fitting Sleeve, Operating Lever & Adjustable Wall Flange with",,510
Seal (compatible with ALD-083 & ALD-089),,
"COP-CHR-081KPM Exposed Part Kit of Concealed Flush Cock with Fitting Sleeve, Operating Lever & Adjustable Wall Flange with",,510
Seal (compatible with ALD-081),,
QUEENS PRIME,,
PART CODE Description,,NRP
QQP-CHR-7001BPM Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses,,"4,340"
QQP-CHR-7051BPM Single Lever Basin Mixer with Popup Waste with 450mm Long Braided Hoses,,"5,650"
"QQP-CHR-7065NKPM Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Wall Flange (with Seals) & Button Only",,"1,250"
(Compatible with Item ALD-065N),,
"QQP-CHR-7079NKPM Single Lever Exposed Parts Kit of Hi-flow Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange",,"1,940"
"(with Seals), Button Assembly Sleeve & Button (Compatible with Item ALD-079N)",,
QQP-CHR-7213BPM Single Lever 1-Hole Bidet Mixer with Popup Waste System with 375mm Long Braided Hoses,,"5,650"
QQP-CHR-7011PM Pillar Cock,,"2,570"
QQP-CHR-7167BPM Central Hole Basin Mixer without Popup Waste System with 450mm Long Braided Hoses,,"4,600"
QQP-CHR-7169BPM Central Hole Basin Mixer with Popup Waste System with 450mm Long Braided Hoses,,"5,470"
QQP-CHR-7189PM 3-Hole Basin Mixer without Popup Waste System,,"6,000"
QQP-CHR-7191PM 3-Hole Basin Mixer with Popup Waste System,,"6,830"
QQP-CHR-7433PM Two Concealed Stop Cocks with Basin Spout (Composite One Piece Body),,"5,910"
"QQP-CHR-7217PM Wall Mixer with Telephone Shower Arrangement, Connecting Legs & Wall Flanges but without Crutch &",,"6,610"
Telephone Shower,,
QQP-CHR-7215PM Exposed Wall Mixer with Provision Only for Overhead Shower & Hand Shower with Connecting Legs & Wall,,"5,860"
Flanges,,
"QQP-CHR-7267PM Wall Mixer with Connector for Hand Shower arrangement with Connecting Legs, Wall Flanges & Wall Bracket for",,"7,090"
Hand Shower,,
"QQP-CHR-7273PM Wall Mixer with Provision For Overhead Shower with 115mm Long Bend Pipe On Upper Side, Connecting Legs",,"7,250"
& Wall Flanges,,
