KUBIX,Unnamed: 0,Unnamed: 1
Present Codes,Description,NRP
KUS-BLM-35953BIUFSM,"Rimless, Blind Installation Wall Hung WC In Black Matt With UF Soft Close Slim Seat Cover, Hinges,","13,900"
,"Accessories Set, Size: 360x500x330  mm",
KUS-WHM-35953BIUFSM,"Rimless, Blind Installation Wall Hung WC In White Matt With UF Soft Close Slim Seat Cover, Hinges,","13,900"
,"Accessories Set, Size: 360x500x330  mm",
KUS-WHT-35153,"Blind Installation Wall Hung Bidet With Accessories Set, Size: 355x490x305 mm","12,400"
KUS-WHT-35401,"Floor Standing Basin With Fixing Accessories, Size: 520x460x855 mm","28,500"
KUS-WHT-35601,"Counter Top Basin, Size: 500x435x180 mm","7,300"
KUS-WHT-35851S300UF,"Single Piece WC With UF Soft Close Seat Cover, Hinges, Dual Flush Cistern Fitting, Fixing Accessories And","32,700"
,"Accessories Set, Size: 370x695x795 mm, S Trap- 300 mm",
KUS-WHT-35901,"""Table Top Basin, Size: 595x435x185 mm""","8,800"
KUS-WHT-35931N,"Table Top Basin, Size: 820x450x150 mm","8,510"
KUS-WHT-35935,"""Table Top Basin, Size: 565x425x140 mm ""","8,600"
KUS-WHT-35953BIUFSM,"Rimless, Blind Installation Wall Hung WC With UF Soft Close Slim Seat Cover, Hinges, Accessories Set, Size:","11,030"
,360x500x330  mm,
KUS-WHT-35803,"Wall Hung Integrated Basin With Fixing Accessories, Size: 490x430x390 mm","10,100"
