Present Codes,Description,NRP
VGS-WHT-81151,"Floor Mounted Bidet With Fixing Accessories, Size: 380x605x385 mm","14,500"
VGS-WHT-81153,"""Wall Hung Bidet With Accessories Set, Size: 400x580x335 mm","13,100"
VGS-WHT-81307,Half Pedestal With Fixing Accessories For VGS-WHT-81803,"2,410"
VGS-WHT-81753P180UFSMZ,"Rimless Bowl With Cistern For Coupled WC With UF Soft Close Slim Seat Cover, Hinges, Dual Flush","18,200"
,"Cistern Fitting, Fixing Accessories And Accessories Set,  Size: 380x610x805 mm, P Trap- 180 mm",
VGS-WHT-81753S250UFSMZ,"Rimless Bowl With Cistern For Coupled WC With UF Soft Close Slim Seat Cover, Hinges, Dual Flush","18,200"
,"Cistern Fitting, Conversion Bend, Fixing Accessories And Accessories Set,  Size: 380x610x805 mm, S",
,Trap- 250 mm(With Conversion Bend),
VGS-WHT-81803,"""Wall Hung Basin With Fixing Accessories, Size: 720x460x190 mm""","4,790"
VGS-WHT-81853P180UF,"Rimless Single Piece WC With UF Soft Close Seat Cover, Hinges, Dual Flush Cistern Fitting, Fixing","24,500"
,"Accessories And Accessories Set, Size: 395x710x730 mm, P Trap- 180 mm",
VGS-WHT-81853S300UF,"Rimless Single Piece WC With UF Soft Close Seat Cover, Hinges, Dual Flush Cistern Fitting, Fixing","24,500"
,"Accessories And Accessories Set, Size: 395x710x730 mm, S Trap- 300 mm",
VGS-WHT-81931N,"""Table Top Basin, Size: 600x385x195 mm""","7,850"
VGS-WHT-81953UF,"Rimless Wall Hung WC With UF Soft Close Seat Cover, Hinges, Accessories Set, Size: 390x570x365 mm","16,800"
