INSTA ELECTRIC,Unnamed: 0
ITEM CODE ITEM DESCRIPTION,NRP
INS-WHT-3KW01 INSTANT 01 LTR GEYSER (3KW),"3,380"
INS-WHT-3KW03 INSTANT 3 LTR GEYSER (3KW),"3,820"
INS-WHT-4.5KW01 INSTANT 1 LTR GEYSER (4.5KW),"3,540"
INS-WHT-4.5KW03 INSTANT 03 LTR GEYSER (4.5KW),"3,980"
ELENA VERTICAL MANUAL,
ITEM CODE ITEM DESCRIPTION,NRP
ELM-WHT-V006 ELENA MANUAL 06 LTR,"8,400"
ELM-WHT-V010 ELENA MANUAL 10 LTR,"9,200"
ELM-WHT-V015 ELENA MANUAL 15 LTR,"10,600"
ELM-WHT-V025 ELENA MANUAL 25 LTR,"12,400"
ELENA+ VERTICAL MANUAL,
ITEM CODE  ITEM DESCRIPTION,NRP
ELM-WHT-3KWV006 ELENA+ MANUAL VERTICAL 6L (3KW),"8,700"
ELM-WHT-3KWV010 ELENA+ MANUAL VERTICAL 10L (3KW),"10,000"
ERICA VERTICAL MANUAL,
ITEM CODE  ITEM DESCRIPTION,NRP
ERM-WHT-V006 ERICA MANUAL STORAGE WATER HEATER 06L,"9,100"
ERM-WHT-V010 ERICA MANUAL STORAGE WATER HEATER 10L,"10,000"
ERM-WHT-V015 ERICA MANUAL STORAGE WATER HEATER 15L,"11,600"
ERM-WHT-V025 ERICA MANUAL STORAGE WATER HEATER 25L,"14,000"
ERICA VERTICAL DIGITAL,
ITEM CODE  ITEM DESCRIPTION,NRP
ERD-WHT-V015 ERICA DIGITAL STORAGE WATER HEATER 15L,"14,800"
ERD-WHT-V025 ERICA DIGITAL STORAGE WATER HEATER 25L,"17,200"
ELENA HORIZONTAL MANUAL,
ITEM CODE  ITEM DESCRIPTION,NRP
ELM-WHT-LHS015 ELENA MANUAL HORIZONTAL 15 LTR (LHS),"9,160"
ELM-WHT-LHS025 ELENA MANUAL HORIZONTAL 25 LTR (LHS),"10,830"
ELM-WHT-H015 ELENA MANUAL HORIZONTAL 15 LTR (RHS),"9,160"
ELM-WHT-H025 ELENA MANUAL HORIZONTAL 25 LTR (RHS),"10,830"
VERSA HORIZONTAL MANUAL,
ITEM CODE  ITEM DESCRIPTION,NRP
VRM-WHT-H040 VERSA MANUAL HORIZONTAL 40 LTR,"13,800"
VRM-WHT-H060 VERSA MANUAL HORIZONTAL 60 LTR,"15,900"
VRM-WHT-H080 VERSA MANUAL HORIZONTAL 80 LTR,"18,900"
VRM-WHT-H100 VERSA MANUAL HORIZONTAL 100 LTR,"20,000"
VERSA VERTICAL MANUAL,
ITEM CODE  ITEM DESCRIPTION,NRP
VRM-WHT-V040 VERSA MANUAL VERTICAL 40 LTR.,"13,800"
VRM-WHT-V060 VERSA MANUAL VERTICAL 60 LTR.,"15,900"
VRM-WHT-V080 VERSA MANUAL VERTICAL 80 LTR,"18,900"
VRM-WHT-V100 VERSA MANUAL VERTICAL 100 LTR,"20,000"
