VERSA HORIZONTAL DIGITAL,Unnamed: 0
ITEM CODE ITEM DESCRIPTION,NRP
VRD-WHT-H040 VERSA DIGITAL HORIZONTAL 40 LTR,"16,800"
VRD-WHT-H060 VERSA DIGITAL HORIZONTAL 60 LTR,"19,300"
VRD-WHT-H080 VERSA DIGITAL HORIZONTAL 80 LTR,"21,700"
VRD-WHT-H100 VERSA DIGITAL HORIZONTAL 100 LTR,"23,700"
ALEXA HORIZONTAL DIGITAL,
ITEM CODE ITEM DESCRIPTION,NRP
AXP-WHT-H020 ALEXA PLUS HORIZONTAL 20L,"21,800"
ALX-WHT-H030 ALEXA HORIZONTAL 30L,"23,900"
ELENA PRIME VERTICAL MANUAL,
ITEM CODE ITEM DESCRIPTION,NRP
EPM-WHT-V006 ELENA PRIME VERTICAL 6L,"9,200"
EPM-WHT-V010 ELENA PRIME VERTICAL 10L,"10,400"
EPM-WHT-V015 ELENA PRIME VERTICAL 15L,"11,900"
EPM-WHT-V025 ELENA PRIME VERTICAL 25L,"12,700"
META VERTICAL MANUAL,
ITEM CODE ITEM DESCRIPTION,NRP
MET-WHT-PV006 META MANUAL VERTICAL 06L,"6,370"
MET-WHT-PV010 META MANUAL VERTICAL 10L,"6,870"
MET-WHT-PV015 META MANUAL VERTICAL 15L,"7,510"
MET-WHT-PV025 META MANUAL VERTICAL 25L,"8,420"
