META VERTICAL SEMI DIGITAL,Unnamed: 0
ITEM CODE ITEM DESCRIPTION,NRP
MET-WHT-V006 META SEMI DIGITAL 06L,"6,900"
MET-WHT-V010 META SEMI DIGITAL 10L,"7,500"
MET-WHT-V015 META SEMI DIGITAL 15L,"7,900"
MET-WHT-V025 META SEMI DIGITAL 25L,"9,950"
INSTA GAS,
ITEM CODE ITEM DESCRIPTION,NRP
ING-WHT-LPG006 INSTANT GAS GEYSER 06L,"7,000"
VERNA FLOOR MOUNTING,
ITEM CODE ITEM DESCRIPTION,NRP
VRN-GRY-200 VERNA FLOOR MOUNTING 200L,"56,600"
VRN-GRY-300 VERNA FLOOR MOUNTING 300L,"69,000"
VRN-GRY-400 VERNA FLOOR MOUNTING 400L,"78,200"
VRN-GRY-500 VERNA FLOOR MOUNTING 500L,"1,03,000"
INTEGRA-X MONOBLOC HEAT PUMP,
ITEM CODE ITEM DESCRIPTION,NRP
HPM-WHT-P200 INTEGRA - X MONO BLOC HEAT PUMP 200L,"1,67,000"
HPM-WHT-P300 INTEGRA - X MONO BLOC HEAT PUMP 300L,"1,86,000"
