PART CODE,Description,NRP
EKO-CHR-33149,Single Lever Exposed Shower Mixer for Connection to Hand Shower with Connecting Legs & Wall Flanges,"3,390"
EKO-CHR-33055NK,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with","1,030"
,Seals) Button Assembly Sleeve & Button (Compatible with ALD-055N),
EKO-CHR-33227K,"Single Lever Exposed Parts Kit of Deusch Mixer Consisting of Operating Lever, Cartridge Sleeve, Wall Flange",680
,"(with Seals), (Compatible with ALD-227 & ALD-229)",
EKO-CHR-33163,Single Lever Sink Mixer Swinging Spout (Wall Mounted Model) with Connecting Legs & Wall Flanges,"4,090"
EKO-CHR-33173B,Single Lever Sink Mixer with Swinging Spout (Table Mounted) with 450mm Long Braided,"3,190"
,Hoses,
EKO-CHR-33213B,Single Lever 1 - Hole Bidet Mixer with Popup Waste System with 375mm Long Braided Hoses,"4,180"
EKO-CHR-33011,Pillar Cock,"1,240"
EKO-CHR-33021,Pillar Cock Long Neck with Aerator,"1,650"
EKO-CHR-33021EXT,Pillar Cock With 170mm Extension Body,"2,000"
EKO-CHR-33167B,Central Hole Basin Mixer without Popup Waste System with 450mm Long Braided Hoses,"3,100"
EKO-CHR-33169B,Central Hole Basin Mixer with Popup Waste System with 450mm Long Braided Hoses,"4,050"
EKO-CHR-33273UPR,"Wall Mixer with Provision for overhead Shower with 115mm Long Bend Pipe on Upper Side, Connecting Legs &","4,420"
,Wall Flanges,
EKO-CHR-33281,Wall Mixer 3-In-1 System With Provision For Both Hand Shower And Overhead Shower Complete With 115Mm,"4,760"
,"Long Bend Pipe, Connecting Legs & Wall Flange (Without Hand & Overhead Shower)",
EKO-CHR-33309,Sink Mixer with Swinging Spout (Wall Mounted Model) with Connecting Legs & Wall Flanges,"3,490"
EKO-CHR-33309B,Sink Mixer with Swinging Spout (Table Mounted Model) with 450mm Long Braided Hoses,"3,390"
EKO-CHR-33347,Sink Cock with Swinging Spout (Wall Mounted Model) with Wall Flange,"1,820"
EKO-CHR-33037,Bib Cock with Wall Flange,"1,130"
EKO-CHR-33041,2 Way Bib Cock with Wall Flange,"1,310"
EKO-CHR-33053,Angular Stop Cock with Wall Flange,840
EKO-CHR-33069K,"Exposed part kit of concealed stop cock with fitting sleeve, operating lever & adjustable wall flange (Compatible",480
,with ALD-069),
