SENSOR,Unnamed: 0,Unnamed: 1
PART CODE,Description,NRP
SNR-CHR-51011N,Sensor Faucet for Wash Basin (Battery Operated),"13,650"
SNR-CHR-51033,Sensor Faucet for Wash Basin in Rectangular Shape (Battery Operated),"11,000"
SNR-CHR-51021,Sensor Faucet for Wash Basin (Battery Operated),"8,840"
SNR-CHR-51021A,Sensor Faucet for Wash Basin with 175mm Extension Body (Battery Operated),"10,380"
SNR-CHR-51001SQ,Sensor Faucet for Wash Basin in Square Shape with Base Flange (Battery Operated),"9,790"
SNR-CHR-51027,Sensor Faucet for Wash Basin (Battery Operated),"9,450"
SNR-CHR-35019PM,Kubix Prime Sensor Faucet for Wash Basin (Battery Operated),"8,890"
SNR-CHR-35019PMPK,Kubix Prime Sensor Faucet for Wash Basin with Pre-mixed Water Supply Kit (Battery Operated),"9,730"
SNR-CHR-35017PM,Kubix Prime Tall Boy Sensor Faucet for Wash Basin (Battery Operated),"11,010"
SNR-CHR-35017PMPK,Kubix Prime Tall Boy Sensor Faucet for Wash Basin with Pre-mixed Water Supply Kit (Battery Operated),"11,850"
SNR-CHR-15019PM,Opal Prime Sensor Faucet for Wash Basin (Battery Operated),"8,580"
SNR-CHR-15019PMPK,Opal Prime Sensor Faucet for Wash Basin with Pre-mixed Water Supply Kit (Battery Operated),"9,400"
SNR-CHR-15017PM,Opal Prime Tall Boy Sensor Faucet for Wash Basin (Battery Operated),"9,470"
SNR-CHR-15017PMPK,Opal Prime Tall Boy Sensor Faucet for Wash Basin with Pre-mixed Water Supply Kit (Battery Operated),"10,300"
SNR-CHR-51097,Sensor Flushing Valve for Urinal with Complete Kit (Battery Operated) (Suitable For Urinal URS-WHT-13255),"8,390"
SNR-STL-51083,Sensor Mini Concealed Type Flushing Valve for Urinal Complete Set with Installation Box (Battery Operated),"7,550"
SNR-STL-51087,Sensor Concealed Type Flushing Valve for Urinal Complete Set with Installation Box with Control Cock (Battery,"8,740"
,Operated),
SNR-STL-51093N,Sensor Concealed Type Flushing Valve for Western Commode Complete Set with Provision for Manual Operation,"12,050"
,Also (Battery Operated),
SNR-CHR-51443,Blush Wall Mounted Sensor faucet with Control Box (Battery Operated),"9,340"
SNR-CHR-51443PK,Blush Wall Mounted Sensor faucet with Control Box & Pre-mixed Water Supply Kit (Battery Operated),"10,150"
SNR-CHR-51445,Blush Deck Mounted Sensor faucet with Control Box (Battery Operated),"9,090"
SNR-CHR-51445PK,Blush Deck Mounted Sensor faucet with Control Box & Pre-mixed Water Supply Kit (Battery Operated),"9,910"
SNR-CHR-51449,Blush Tall Boy Deck Mounted Sensor faucet with Control Box (Battery Operated),"9,310"
SNR-CHR-51449PK,Blush Tall Boy Deck Mounted Sensor faucet with Control Box & Pre-mixed Water Supply Kit (Battery Operated),"10,110"
