KUBIX PRIME,Unnamed: 0
PART CODE Description,NRP
"KUP-CHR-35079NKPM Single Lever Exposed Parts Kit of Hi-flow Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","2,000"
"(with Seals), Button Assembly Sleeve & Button (Compatible with ALD-079N)",
"KUP-CHR-35193KPM Single Lever 3-inlet Diverter Exposed parts kit Consisting of Operating Lever, Wall Flange & Button Only (Suitable","1,900"
For Item ALD-193),
"KUP-CHR-35227KPM Single Lever Exposed Parts Kit of Deusch Mixer Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","1,430"
"(with Seals), (Compatible with ALD-227 & ALD-229)",
"KUP-CHR-35121KPM Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower","38,990"
& Shower Hose (Compatible with ALD-121),
KUP-CHR-35213BPM Single Lever 1-Hole Bidet Mixer with Popup Waste System with 375mm Long Braided Hoses,"6,500"
KUP-CHR-35001PM Pillar Cock,"2,210"
KUP-CHR-35021PM Pillar Cock with 190mm Extension Body,"3,370"
"KUP-CHR-35189PM 3-Hole Basin Mixer without Popup Waste System, 15mm Cartridge Size","7,930"
"KUP-CHR-35191PM 3-Hole Basin Mixer with Popup Waste System, 15mm Cartridge Size","8,960"
KUP-CHR-35433PM Two Concealed Stop Cocks with Basin Spout (Composite One Piece Body),"5,520"
"KUP-CHR-35441KPM Exposed Part Kit of Single Concealed Stop Cock Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","2,230"
(with Seals) & Basin Spout (Compatible with ALD-441),
KUP-CHR-35037PM Bib Cock with Wall Flange,"1,970"
KUP-CHR-35041PM 2 Way Bib Cock with Wall Flange,"2,350"
KUP-CHR-35053PM Angular Stop Cock with Wall Flange,"1,450"
"KUP-CHR-35083KPM Exposed Part Kit of Concealed Stop Cock & Flush Cock with Fitting Sleeve, Operating Lever & Adjustable Wall",820
"Flange with Seal (compatible with ALD-083, ALD-089 & ALD-081)",
