Product Code,Description,NRP
OHS-CHR-1709,Overhead Shower ø105mm Round Shape Single Flow with Air Effect (ABS Body & Face Plate Chrome Plated),"2,500"
,with Rubit Cleaning System,
OHS-CHR-1719,Overhead Shower ø105mm Round Shape Multi Flow with Air Effect (ABS Body & Face Plate Chrome Plated),"3,750"
,with Rubit Cleaning System,
OHS-CHR-1757,Overhead Shower ø140mm Round Shape Single Flow with Air Effect (ABS Body & Face Plate Chrome Plated),"3,240"
,with Rubit Cleaning System,
OHS-CHR-1769,Overhead Shower ø140mm Round Shape Multi Flow with Air Effect (ABS Body & Face Plate Chrome Plated),"4,470"
,with Rubit Cleaning System,
OHS-CHR-1755,Overhead Shower ø180mm Round Shape Single Flow with Air Effect (ABS Body & Face Plate Chrome Plated),"3,870"
,with Rubit Cleaning System,
OHS-CHR-85857,"""Alive- Maze Prime Single Function Shower 450 X 350mm AISI 304 stainless steel with RGB LED light remote","44,600"
,control & installation kit for false ceiling,
," Chromo therapy (RGB): LED x 0.23W with 12V Power Supply (SMPS) Including Controller, connecting to AC",
,"100-240V, 50-60Hz""",
OHS-CHR-1673,"""Maze Prime Round Shape Single Function Shower 450mm dia AISI 304 stainless steel with RGB LED light","47,600"
,remote control & installation kit for false ceiling,
," Chromo therapy (RGB): LED x 0.23W with 12V Power Supply (SMPS) Including Controller, connecting to AC",
,"100-240V, 50-60Hz""",
OHS-CHR-1679,"""Maze Prime Square Shape Single Function Shower 450 X 450mm AISI 304 stainless steel with RGB LED light","47,600"
,remote control & installation kit for false ceiling,
," Chromo therapy (RGB): LED x 0.23W with 12V Power Supply (SMPS) Including Controller, connecting to AC",
,"100-240V, 50-60Hz""",
OHS-CHR-1649,Water Fall Overhead Shower 552X205X25mm Flat Shape Dual Flow (Maze Rain & Cascade) with Concealed,"35,900"
,Installation Kit & Wall Flange (Shower Body & Face Plate Stainless Steel) with Rubit Cleaning System,
OHS-CHR-1603,Maze Overhead Shower ø150mm Round Shape Single Flow (Body & Face Plate Stainless Steel) with Rubit,"2,950"
,Cleaning System,
OHS-CHR-1613,Maze Overhead Shower ø200mm Round Shape Single Flow (Body & Face Plate Stainless Steel) with Rubit,"4,410"
,Cleaning System,
OHS-CHR-1623,Maze Overhead Shower ø240mm Round Shape Single Flow (Body & Face Plate Stainless Steel) with Rubit,"5,550"
,Cleaning System,
OHS-CHR-1633,Maze Overhead Shower ø300mm Round Shape Single Flow (Body & Face Plate Stainless Steel) with Rubit,"7,950"
,Cleaning System,
OHS-CHR-1635,Maze Overhead Shower 340X220mm Oval Shape Single Flow (Body & Face Plate Stainless Steel) with Rubit,"7,660"
,Cleaning System,
OHS-CHR-1605,Maze Overhead Shower 150X150mm Square Shape Single Flow (Body & Face Plate Stainless Steel) with Rubit,"3,220"
,Cleaning System,
OHS-CHR-1619,Maze Overhead Shower 200X200mm Square Shape Single Flow (Body & Face Plate Stainless Steel) with Rubit,"4,560"
,Cleaning System,
OHS-CHR-1629,Maze Overhead Shower 240X240mm Square Shape Single Flow (Body & Face Plate Stainless Steel) with Rubit,"5,950"
,Cleaning System,
OHS-CHR-1639,Maze Overhead Shower 300X300mm Square Shape Single Flow  (Body & Face Plate Stainless Steel) with Rubit,"8,350"
,Cleaning System,
OHS-CHR-1637,Maze Overhead Shower 190X295mm Rectangular Shape Single Flow (Body & Face Plate Stainless Steel) with,"6,020"
,Rubit Cleaning System,
OHS-CHR-85859M,Alive Maze Overhead Shower 200X300mm Round Edge & Rectangular Head Single Flow (Body & Face Plate,"7,130"
,Stainless Steel) with Rubit Cleaning System,
OHS-CHR-1801,Overhead Shower ø150mm Round Shape Single Flow (Brass Body Chrome Plated with Gray Face Plate) with,"4,630"
,Self Cleaning Function,
OHS-CHR-1843,Victorian Shower Head Round ø200mm (Bell Type) Single Flow (Body & Face Plate Brass) with Rubit Cleaning,"5,140"
,System,
