OHS-CHR-1989,Overhead Shower ø100mm Round Shape Single Flow (ABS Body Chrome Plated with Gray Face Plate) with,"1,390"
,Rubit Cleaning System,
OHS-CHR-1789,Overhead Shower ø120mm Round Shape Single Flow (ABS Body Chrome Plated with Gray Face Plate) with,"2,110"
,Rubit Cleaning System,
OHS-CHR-1759,Overhead Shower ø180mm Round Shape Single Flow (ABS Body Chrome Plated with Gray Face Plate) with,"2,530"
,Rubit Cleaning System,
OHS-CHR-497N,Overhead Shower ø190mm Round Shape Single Flow (ABS Body Chrome Plated with Gray Face Plate) with,"2,950"
,Rubit Cleaning System,
OHS-CHR-35495,Overhead Shower 150X150mm Square Shape Single Flow (ABS Body Chrome Plated with Gray Face Plate) with,"2,470"
,Rubit Cleaning System,
OHS-CHR-35497,Overhead Shower 200X200mm Square Shape Single Flow (ABS Body Chrome Plated with Gray Face Plate) with,"3,140"
,Rubit Cleaning System,
OHS-CHR-1765,Overhead Shower ø250mm Round Shape Single Flow (ABS Body & Face Plate Chrome Plated) with Rubit,"15,400"
,Cleaning System,
OHS-WHM-1765,Overhead Shower ø250mm Round Shape Single Flow (ABS Body with Face Plate White Matt) With Rubit,"22,240"
,Cleaning System,
OHS-BLM-1765,Overhead Shower ø250mm Round Shape Single Flow (ABS Body with Face Plate Black Matt) with Rubit,"22,240"
,Cleaning System,
OHS-CHR-1763,LED Overhead Shower ø180mm Circular Shape Single Flow (ABS Body & Face Plate Chrome Plated) with Rubit,"12,860"
,Cleaning System,
OHS-WHM-1763,LED Overhead Shower ø180mm Circular Shape Single Flow (ABS Body with Face Plate White Matt) with Rubit,"18,570"
,Cleaning System,
OHS-BLM-1763,LED Overhead Shower ø180mm Circular Shape Single Flow (ABS Body with Face Plate Black Matt) with Rubit,"18,570"
,Cleaning System,
OHS-CHR-1741,LED Overhead Shower ø234mm Round Shape Single Flow (ABS Body Chrome Plated With Gray Face Plate),"9,100"
,With Rubit Cleaning System,
OHS-CHR-1743,LED Overhead Shower 250X250mm Square Shape Single Flow (ABS Body Chrome Plated With Gray Face,"10,800"
,Plate) With Rubit Cleaning System,
OHS-CHR-1999,Overhead Shower ø100mm Round Shape Multi Flow (ABS Body Chrome Plated with Gray Face Plate) with Rubit,"1,870"
,Cleaning System,
OHS-CHR-1787,"Overhead Shower ø100mm Cylindrical Shape Multi Flow (Rain, Massage & Mist) Chrome Plated (ABS Body With","5,450"
,Gray Face Plate) With Rubit Cleaning System,
OHS-CHR-1779,Overhead Shower ø120mm Round Shape Multi Flow with Cascade Effect (ABS Body Chrome Plated with Gray,"2,720"
,Face Plate) with Rubit Cleaning System,
OHS-CHR-1799,Overhead Shower ø120mm Round Shape Multi Flow (ABS Body Chrome Plated with Gray Face Plate) with Rubit,"2,150"
,Cleaning System,
