HAND SHOWER,Unnamed: 0
Product Code Description,NRP
HSH-CHR-5537N Hand Shower ø24mm Round Shape Single Flow (ABS Body) with Rubit Cleaning System,800
HSH-CHR-35537 Hand Shower 27X27mm Square Shape Single Flow (ABS Body & Face Plate Chrome Plated) with Rubit Cleaning,"1,010"
System,
HSH-CHR-49537 Hand Shower ø25X38mm Oval Shape Single Flow (ABS Body & Face Plate Chrome Plated) with Rubit Cleaning,930
System,
HSH-CHR-9537N Victorian Hand Shower Head Round (Bell Type) Single Flow (Brass) with Rubit Cleaning System,"1,950"
HSH-CHR-1737 Hand Shower ø95mm Round Shape Single Flow (ABS Body Chrome Plated with Gray Face Plate) with Rubit,"1,170"
Cleaning System,
HSH-CHR-1937 Hand Shower ø100mm Round Shape Single Flow  (ABS Body Chrome Plated with Gray Face Plate) with Rubit,"1,230"
Cleaning System,
HSH-CHR-1781 Hand Shower ø180mm Round Shape Single Flow (ABS Body Chrome Plated with Gray Face Plate) with Rubit,"2,690"
Cleaning System,
HSH-CHR-5541 Hand Shower ø32mm Round Shape Straight Design Dual Flow (ABS Body & Face Plate Chrome Plated) with,"1,520"
Rubit Cleaning System,
"HSH-CHR-1797 Hand Shower ø75mm Cylindrical Shape Multi Flow (Rain, Massage & Mist), Chrome Plated ABS Body With Gray","3,280"
Face Plate & Rubit Cleaning System,
HSH-CHR-1739 Hand Shower ø95mm dia Round Shape Multi Flow (ABS Body Chrome Plated with Gray Face Plate) with Rubit,"1,420"
Cleaning System,
HSH-CHR-1939 Hand Shower ø100mm Round Shape Multi Flow (ABS Body Chrome Plated with Gray Face Plate) with Rubit,"1,550"
Cleaning System,
HSH-CHR-1731 Hand Shower ø120mm Round Shape Multi Flow with Cascade Effect (ABS Body Chrome Plated with Gray Face,"2,700"
Plate) with Rubit Cleaning System,
HSH-CHR-1653 Maze Hand Shower ø95mm Round Shape Single Flow (Face Plate Stainless Steel & ABS Body) with Rubit,"1,740"
Cleaning System,
HSH-CHR-1655 Maze Hand Shower 95X95mm Square Shape Single Flow (Face Plate Stainless Steel & ABS Body) with Rubit,"1,720"
Cleaning System,
HSH-CHR-1657 Maze Hand Shower 65X95mm Rectangular Shape Single Flow (Face Plate Stainless Steel & ABS Body) with,"1,630"
Rubit Cleaning System,
HSH-CHR-85537 Alive Maze Hand Shower 68X100mm Round Edge & Rectangular Head Single Flow (Face Plate Stainless Steel &,"1,630"
ABS Body) with Rubit Cleaning System,
