WHIRLPOOL,Unnamed: 0,Unnamed: 1
Product Code,Description,NRP
JWP-WHT-KUBIX180WX,Kubix 180x80x47 Water System,"1,50,000"
JWP-WHT-KUBIX180CX,Kubix 180x80x47 Combi System,"1,72,000"
JWP-WHT-ALIVE180WX,Alive 180x80x47 Water System,"1,50,000"
JWP-WHT-ALIVE180CX,Alive 180x80x47 Combi System,"1,72,000"
JWP-WHT-DARC180WX,D Arc 180x110x47 Water System,"1,59,000"
JWP-WHT-DARC180CX,D Arc 180x110x47 Combi System,"1,82,000"
JWP-WHT-POINT150WX,Fonte - R 150x150x47 Water System,"1,53,000"
JWP-WHT-POINT150CX,Fonte - R 150x150x47 Combi System,"1,78,000"
JWP-WHT-VGNT190WX,Vignette Prime 190x90x47 Water System,"1,50,000"
JWP-WHT-VGNT190CX,Vignette Prime 190x90x47 Combi System,"1,72,000"
JWP-WHT-FONTE180WX,Fonte 180x80x45 Water System,"1,19,000"
JWP-WHT-FONTE180CX,Fonte 180x80x45 Combi System,"1,40,000"
JWP-WHT-GMI140WX,Fusion 140x140x45 Water System,"1,28,000"
JWP-WHT-GMI140CX,Fusion 140x140x45 Combi System,"1,51,000"
JWP-WHT-FONTE150WX,Fonte 150x75x42 Water System,"1,08,000"
JWP-WHT-FONTE150CX,Fonte 150x75x42 Combi System,"1,28,000"
JWP-WHT-FONTE170WX,Fonte 170x75x42 Water System,"1,12,000"
JWP-WHT-FONTE170CX,Fonte 170x75x42 Combi System,"1,32,000"
JWP-WHT-KUBIXPM180WX,Kubix Prime 180x110x48 Water System,"1,65,000"
JWP-WHT-KUBIXPM180CX,Kubix Prime 180x110x48 Combi System,"1,85,000"
JWP-WHT-OPALPM180CX,Opal Prime 180 X 80 X 47 Whirlpool and A,"1,72,000"
JWP-WHT-OPALPM180WX,Opal Prime 180 X 80 X 47 Water System WH,"1,41,000"
JWP-WHT-ARC190WX,Arc 190x90x47 Water System,"1,42,000"
JWP-WHT-ARC190CX,Arc 190x90x47 Combi System,"1,74,000"
JWP-WHT-FONTE150PWX,Fonte 150x75x42 Water System Project (6 Water ) - with Level Sensor Electronic Key Pad,"72,000"
JWP-WHT-FONTE150PCX,Fonte 150x75x42 Combi System Project (6 Water + 12 Air Jet) with Out Light,"1,03,000"
JWP-WHT-FONTE170PWX,Fonte 170x75x42 Water System Project (6 Water )  with Level Sensor Electronic Key Pad,"76,000"
JWP-WHT-FONTE170PCX,Fonte 170x75x42 Combi System Project (6 Water + 12 Air Jet)  with Out Light,"1,07,000"
JWP-WHT-FONTE160CX,Fonte 160x75x42 whirlpool and airpool combi system,"1,30,000"
JWP-WHT-FONTE160WX,Fonte 160x75x42 water system whirlpool,"1,10,000"
JWP-WHT-FONTE160PCX,Fonte 160x70x42 cm whirlpool & airpool combi system,"1,05,000"
JWP-WHT-FONTE160PWX,Fonte 160x70x42 cm water system project (6 water Jets) wyth level sensor and without light,"74,000"
JWP-WHT-LAGUNA170CX,Laguna 170 X 70 X 45 Whirlpool And Airpool Combi System,"1,67,000"
JWP-WHT-LAGUNA170WX,Laguna 170 X 70 X 45 Water System Whirlpool,"1,35,000"
JWP-WHT-LAGUNA180CX,Laguna 180 X 70 X 45 Whirlpool And Airpool Combi System,"1,75,000"
JWP-WHT-LAGUNA180WX,Laguna 180 X 70 X 45 Water System Whirlpool,"1,42,000"
BATH TUB,,
Product Code,Description,NRP
JBT-WHT-KUBIX180X,Kubix 180x80x47 built in bath tub,"29,500"
JBT-WHT-ALIVE180X,Alive 180x80x47 built in bath tub,"29,500"
JBT-WHT-DARC180X,D arc 180x110x47 built in bath tub,"38,000"
JBT-WHT-FONTR150X,Fonte - r 150x150x47 built in bath tub,"45,000"
JBT-WHT-VGNTP190X,Vignette prime 190x90x47 built in bath tub,"32,000"
JBT-WHT-FONT180X,Fonte 180x80x45 built in bath tub,"26,000"
JBT-WHT-FUSN140X,Fusion 140x140x45 built in bath tub,"30,000"
JBT-WHT-FONT150X,Fonte 150x75x42 built in bath tub,"21,500"
JBT-WHT-FONT170X,Fonte 170x75x42 built in bath tub,"24,500"
JBT-WHT-KUBIXP180X,Kubix prime 180x110x48 built in bath tub,"39,500"
JBT-WHT-ARC190X,Arc 190x90x47 built in bathtub,"35,000"
JBT-WHT-OPALPM180X,Opal prime 180 x 80 x 47 built-in bathtu,"31,000"
