BATH TUB,Unnamed: 0,Unnamed: 1
JBT-WHT-LAGUNA170X Laguna 170 X 70 X 45 Built-In Bathtub,,"28,000"
JBT-WHT-LAGUNA180X Laguna 180 X 70 X 45 Built-In Bathtub,,"30,000"
JBT-WHT-FONT160X Fonte 160X70x42 Built In Bath Tub,,"23,500"
BATH TUB WITH MS FRAME (NEW CODES),,
Product Code Description,,NRP
JBT-WHT-KUBIX180FX Kubix 180x80x47 Built In Bath Tub with Powder Coated MS Frame,,"35,000"
JBT-WHT-ALIVE180FX Alive 180x80x47 Built In Bath Tub with Powder Coated MS Frame,,"35,000"
JBT-WHT-DARC180FX D arc 180x110x47 Built In Bath Tub with Powder Coated MS Frame,,"44,000"
JBT-WHT-FONTR150FX Fonte - R 150x150x47 Built In Bath Tub with Powder Coated MS Frame,,"52,000"
JBT-WHT-VGNTP190FX Vignette Prime 190x90x47 Built in Bath Tub with powder Coated MS Frame,,"38,000"
JBT-WHT-FONT180FX Fonte 180x80x45 Built in Bath Tub with powder Coated MS Frame,,"31,000"
JBT-WHT-FONT150FX Fusion Corner 140x140x45 Built in Bath Tub with Powder Coated MS Frame,,"29,800"
JBT-WHT-FONT150FX Fonte 150x75x42 Built in Bath Tub with Powder Coated MS Frame,,"27,000"
JBT-WHT-FONT170FX Fonte 170x75x42 Built in Bath Tub with Powder Coated Ms Frame,,"29,000"
JBT-WHT-KUBIXP180FX Kubix Prime 180x110x48 Built in Bath Tub with Powder Coated MS Frame,,"46,000"
JBT-WHT-ARC190FX Arc 190x90x47 Built in Bathtub with Powder Coated MS Frame,,"43,500"
JBT-WHT-OPALPM180FX Opal Prime 180 x 80 x 47 Built-in Bathtub with Powder Coated MS Frame,,"36,000"
JBT-WHT-FUSN140FX Fusion Corner 140X140x45 Built-In Bath Tub With Powder Coated Ms Frame,,"37,000"
JBT-WHT-FONT160FX Fonte 160X70x42 Built-In Bath Tub With Powder Coated Ms Frame,,"28,000"
JBT-WHT-LAGUNA170FX Laguna 170 X 70 X 45 Built-In Bathtub With Powder Coated Ms Frame,,"33,000"
JBT-WHT-LAGUNA180FX Laguna 180 X 70 X 45 Built-In Bathtub With Powder Coated Ms Frame,,"35,000"
BATH TUB PANEL,,
Product Code Description,,NRP
JWA-WHT-VGNTPSPX Side Panel for Vignette Prime 190x90x47 with Fixing Kit,,"6,300"
JWA-WHT-FUSNCPX Angular Panel for Fusion 140x140x45 with Fixing Kit,,"15,200"
JWA-WHT-VGNTPFPX Front Panel for Vignette Prime 190x90x47 with Fixing Kit,,"10,900"
JWA-WHT-FONT150FPX Front Panel for Fonte 150x75x42 with Fixing Kit,,"8,900"
JWA-WHT-FONT170FPX Front Panel for Fonte 170x75x42 with Fixing Kit,,"9,900"
JWA-WHT-SP75X Side Panel Suitable for Fonte150 / Fonte170 with Fixing Kit,,"5,100"
JWA-WHT-SP80X Side Panel Suitable for Kubix / Alive / Fonte180 with Fixing Kit,,"5,700"
JWA-WHT-SP110X Side Panel Suitable for Kubix Prime / DArc with Fixing Kit,,"6,800"
JWA-WHT-FP180X Front Panel Suitable for Kubix / Alive / Fonte180 / Kubix P / DArc with Fixing Kit,,"10,000"
JWA-WHT-ARCFPX Front Panel Suitable for Arc Bathtub & Whirlpool with Fixing Kit,,"21,500"
JWA-WHT-ARCSPX Side Panel Suitable for Arc Bathtub & Whirlpool with Fixing Kit,,"4,200"
JWA-WHT-OPALPMFPX Front Panel C- Shape Suitable for Opal Prime Bathtub & Whirlpool,,"21,500"
JWA-WHT-FPLAG170X Front Panel Suitable for Laguna 1700 x 700 Bathtub,,"14,100"
JWA-WHT-FPLAG180X Front Panel Suitable for Laguna 1800 x 700 Bathtub,,"14,100"
JWA-WHT-SP55X Side Panel Suitable for Laguna Bathtub,,"6,700"
JWA-WHT-FONT160FPX FRONT PANEL SUITABLE FOR FONTE 1600 X 700 BATHTUB,,"9,500"
JWA-WHT-FONT160SPX SIDE PANEL SUITABLE FOR FONTE 1600X700 BATHTUB,,"5,100"
FREESTANDING BATH TUB,,
Product Code Description,,NRP
JBT-WHT-FSBT177542X Alaska Free Standing Bathtub  1712x760x440/580mm with Over Flow & Waste,,"1,02,000"
JBT-WHT-FSBT177544X Saipan Free Standing Bath Tub 1690x800x445/565mm with Over Flow & Waste,,"1,05,000"
JBT-WHT-FSBT177840X Julia Free Standing Bath Tub 1715x795x400/560mm with Over Flow & Waste,,"93,000"
JBT-WHT-FSBTPB278X Eggy Free Standing Bath Tub 1700x850x450/580mm with Built in Overflow & Pop-up Waste,,"99,000"
"JBT-WHT-FSBTMAD1778 Queens Free Standing Bath Tub 1702x787x434/615mm with Chrome Over Flow, Waste & Legs",,"1,13,000"
"JBT-WHT-FSBTMAD1778G Queens Free Standing Bath Tub 1702x787x434/615mm with Gold Over Flow, Waste & Legs",,"1,18,000"
"JBT-WHT-FSBTLG6001 Laguna Free Standing Bathtub 1800X800x440/580Mm With Built-In Overflow, Pop-Up Waste",,"1,24,000"
"JBT-WHT-FSBTLG6005 Laguna Free Standing Bathtub 1800X800x440/580Mm With Holes For 5 Hole Filler, Built-In Overflow, Pop-",,"1,24,000"
Up Waste (Filler Lag-Chr-91287 Sold As Separate),,
