Model,Product Code,Product Description,NRP
No.,,,
S830 G,JSE-CHR-S830G2428H22X,Wall To Wall Enclosure With 2 Fixed Glass And 1 Openable Door In Between- 8mm Glass (2401mm,"63,640"
,,To 2800mm) X 2200mm,
S840 L,JSE-CHR-S840L1620H22X,Corner Enclosure With 2 Fixed Glass And 1 Openable Door Fixed With Side Panel - 8mm Glass,"51,970"
,,(1601mm To 2000mm) X 2200mm,
S840 L,JSE-CHR-S840L2024H22X,Corner Enclosure With 2 Fixed Glass And 1 Openable Door Fixed With Side Panel - 8mm Glass,"56,990"
,,(2001mm To 2400mm) X 2200mm,
S840 L,JSE-CHR-S840L2428H22X,Corner Enclosure With 2 Fixed Glass And 1 Openable Door Fixed With Side Panel - 8mm Glass,"61,600"
,,(2401mm To 2800mm) X 2200mm,
S840 L,JSE-CHR-S840L2832H22X,Corner Enclosure With 2 Fixed Glass And 1 Openable Door Fixed With Side Panel - 8mm Glass,"64,660"
,,(2801mm To 3200mm) X 2200mm,
