Model No.,Product Code,Product Description,NRP
S830 G,JSE-BLM-S830G1216H20X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between with square hardware,"42,440"
,,& profile- 8mm glass (1201mm to 1600mm) x 2000mm,
S830 G,JSE-BLM-S830G1620H20X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between with square hardware,"47,250"
,,& profile- 8mm glass (1601mm to 2000mm) x 2000mm,
S830 G,JSE-BLM-S830G2024H20X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between with square hardware,"52,220"
,,& profile- 8mm glass (2001mm to 2400mm) x 2000mm,
S830 G,JSE-BLM-S830G2428H20X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between with square hardware,"59,680"
,,& profile- 8mm glass (2401mm to 2800mm) x 2000mm,
S840 L,JSE-BLM-S840L1620H20X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel with square hard-,"47,540"
,,ware & profile - 8mm glass (1601mm to 2000mm) x 2000mm,
S840 L,JSE-BLM-S840L2024H20X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel with square hard-,"51,140"
,,ware & profile - 8mm glass (2001mm to 2400mm) x 2000mm,
S840 L,JSE-BLM-S840L2428H20X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel with square hard-,"55,360"
,,ware & profile - 8mm glass (2401mm to 2800mm) x 2000mm,
S840 L,JSE-BLM-S840L2832H20X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel with square hard-,"57,480"
,,ware & profile - 8mm glass (2801mm to 3200mm) x 2000mm,
S840 P,JSE-BLM-S840P1010SX,Pentagonal shaped corner enclosure with 2 fixed glass and 1 openable door in standard dimen-,"46,200"
,,sion  with square hardware & profile  - 8mm glass width 1000x1000,
S840 P,JSE-BLM-S840P1111SX,Pentagonal shaped corner enclosure with 2 fixed glass and 1 openable door in standard dimen-,"54,940"
,,sion with square hardware & profile  - 8mm glass width 1100x1100,
S840 P,JSE-BLM-S840P1212SX,Pentagonal shaped corner enclosure with 2 fixed glass and 1 openable door in standard dimen-,"55,830"
,,sion with square hardware & profile  - 8mm glass width 1200x1200,
S840 P,JSE-BLM-S840P1313SX,Pentagonal shaped corner enclosure with 2 fixed glass and 1 openable door in standard dimen-,"56,850"
,,sion with square hardware & profile  - 8mm glass width 1300x1300,
S840 P,JSE-BLM-S840P1414SX,Pentagonal shaped corner enclosure with 2 fixed glass and 1 openable door in standard dimen-,"59,000"
,,sion with square hardware & profile  - 8mm glass width 1400x1400,
S840 P,JSE-BLM-S840P1515SX,Pentagonal shaped corner enclosure with 2 fixed glass and 1 openable door in standard dimen-,"61,000"
,,sion with square hardware & profile  - 8mm glass width 1500x1500,
S860 T,JSE-BLM-S186T3034H20X,T shaped enclosure separating 2 shower/ wc areas with a common glass. 2 Doors in the front,"77,560"
,,fixed with the common glass with square hardware - 8mm glasswidth3000mm to 3400mm,
S860 T,JSE-BLM-S186T3438H20X,T shaped enclosure separating 2 shower/ wc areas with a common glass. 2 Doors in the front,"80,280"
,,fixed with the common glass with square hardware - 8mm glasswidth3400mm to 3800mm,
S860 T,JSE-BLM-S186T3842H20X,T shaped enclosure separating 2 shower/ wc areas with a common glass. 2 Doors in the front,"82,330"
,,fixed with the common glass with square hardware - 8mm glasswidth3800mm to 4200mm,
S860 T,JSE-BLM-S186T4246H20X,T shaped enclosure separating 2 shower/ wc areas with a common glass. 2 Doors in the front,"85,230"
,,fixed with the common glass with square hardware - 8mm glasswidth4200mm to 4600mm,
