ARIA,Unnamed: 0,Unnamed: 1
Present Codes,Description,NRP
ARS-WHT-39153,"Wall Hung Bidet with Accessories set, Size: 360x570x340 mm","13,100"
ARS-WHT-39155,"Blind Installation Wall Hung Bidet With Accessories set, Size: 350x490x340 mm","12,600"
ARS-WHT-39301,Full Pedestal For ARS-WHT-39801,"1,980"
ARS-WHT-39305,Half Pedestal With Fixing Accessories For ARS-WHT-39801,"1,420"
ARS-WHT-39601,"Counter Top Basin, Size: 635x415x190 mm","8,850"
ARS-WHT-39751P180UFSMZ,"Bowl With Cistern For Coupled WC With UF Soft Close Slim Seat Cover, Hinges, Dual Flush Cistern","15,100"
,"Fitting, Fixing Accessories And Accessories Set,  Size: 375x650x800 mm, P Trap- 180 mm",
ARS-WHT-39751S250UFSMZ,"Bowl With Cistern For Coupled WC With UF Soft Close Slim Seat Cover, Hinges, Dual Flush Cistern","15,100"
,"Fitting, Fixing Accessories And Accessories Set,  Size: 375x650x800 mm, S Trap- 250 mm",
ARS-WHT-39801,"Wall Hung Basin With Fixing Accessories, Size: 570x470x190 mm","4,390"
ARS-WHT-39803,"Wall Hung Integrated Basin With Fixing Accessories, Size: 500x440x385 mm","10,100"
ARS-WHT-39901,"Table Top Basin, Size: 420x420x135 mm","3,780"
ARS-WHT-39903,"Table Top Basin, Size: 700x435x135 mm","6,450"
ARS-WHT-39951UFSM,"Wall Hung WC With UF Soft Close Slim Seat Cover, Hinges, Accessories Set, Size: 360x580x360 mm","14,900"
ARS-WHT-39953BIUFSM,"Rimless, Blind Installation Wall Hung WC With UF Soft Close Slim Seat Cover, Hinges, Accessories Set,","13,600"
,Size: 345x495x365 mm,
ARS-WHT-39955P180UFSM,"Rimless Back To Wall WC With UF Soft Close Slim Seat Cover, Hinges, Fixing Accessories And","17,500"
,"Accessories Set, Size: 360x605x410 mm, P Trap-180 mm",
ARS-WHT-39961BIUFSMTL,"Tankless Wall Hung Wc With Sensor Flush, Uf Soft Close Slim Seat Cover, Hinges, Accessories Set, Size:","22,000"
,360X595x380 Mm,
BIDSPA,,
Present Codes,Description,NRP
ITS-WHT-89851S300PP,"Bidspa Single Piece WC With Electronic PP Seat Cover, Hinges, Dual Flush Cistern Fitting, Fixing Accessories","36,000"
,"And Accessories Set, Size: 360x730x740 mm, S Trap- 300 mm",
ITS-WHT-89853S300PPPM,"Automatic Rimless Floor Mounted WC With Electronic PP Seat Cover, Adjustable Seat, Air, Water","1,02,000"
,"temperature, Night light, Fixing Accessories And Accessories Set, Size: 390x685x465 mm, S Trap- 300 mm",
ITS-WHT-89853S300PPPMAT,"Fully Automatic Rimless Floor Mounted WC With Electronic PP Seat Cover - Auto Open, Adjustable Seat, Air,","1,22,000"
,"Water temperature, Night light, Fixing Accessories Set, Size: 390x685x465 mm, S Trap- 300 mm",
ITS-WHT-89853S300PP,"Bidspa Rimless Single Piece WC With Electronic PP Seat Cover, Hinges, Dual Flush Cistern Fitting, Fixing","38,500"
,"Accessories And Accessories Set, Size: 385x720x715 mm, S Trap- 300 mm",
ITS-WHT-89953PP,"Bidspa Rimless Wall Hung WC With Electronic PP Seat Cover, Hinges, Accessories Set, Size: 390x570x365","33,500"
,mm,
DARC,,
Present Codes,Description,NRP
DRS-WHT-37601,"Counter Top Basin, Size: 615x415x150 mm","5,660"
DRS-WHT-37953BIUFSM,"Rimless, Blind Installation Wall Hung WC With UF Soft Close Slim Seat Cover, Hinges And Accessories","18,100"
,"Set, Size: 355x525x380 mm",
