CONTINENTAL,Unnamed: 0
Present Codes Description,NRP
"CNS-WHT-153 Blind Installation Wall Hung Bidet With Accessories Set, Size: 370x500x330 mm","10,700"
CNS-WHT-301 Full Pedestal For CNS-WHT-801,"1,570"
CNS-WHT-303 Full Pedestal For CNS-WHT-811,"1,730"
CNS-WHT-305 Half Pedestal With Fixing Accessories For CNS-WHT-801,"1,270"
"CNS-WHT-353SPPZ Bowl With Cistern For Extended Wall Hung  WC With PP Soft Close Seat Cover, Hinges, Dual Flush Cistern","7,400"
"Fitting, Accessories Set, Size: 380x630x770 mm",
"CNS-WHT-363SPPZ Rimless Bowl With Cistern For Extended Wall Hung  WC With PP Soft Close Seat Cover, Hinges, Dual Flush","8,700"
"Cistern Fitting, Accessories Set, Size: 375x630x750 mm",
"CNS-WHT-551PNPP184LZ EWC With Wall Hung Cistern, Drainage L Bend Pipe, Gasket, Installation Kit, PP Normal Close Seat Cover,","4,150"
"Hinges, Fixing Accessories And Accessories Set, Size: 360x475x395 mm, P Trap",
"CNS-WHT-551PSPP EWC With PP Soft Close Seat Cover, Hinges, Fixing Accessories And Accessories Set, Size: 360x475x395","3,250"
"mm, P Trap",
"CNS-WHT-551SNPP184LZ EWC With Wall Hung Cistern, Drainage L Bend Pipe, Gasket, Installation Kit, PP Normal Close Seat Cover,","5,610"
"Hinges, Fixing Accessories And Accessories Set, Size: 350x480x395 mm, S Trap",
"CNS-WHT-551SSPP EWC With PP Soft Close Seat Cover, Hinges, Fixing Accessories And Accessories Set, Size: 350x480x395","4,170"
"mm, S Trap",
"CNS-WHT-701 Under Counter Basin With Fixing Accessories, Size: 485x370x205 mm, Shape: Rectangular","1,980"
"CNS-WHT-705 Under Counter Basin With Fixing Accessories, Size: 605x430x200 mm, Shape: Oval","2,630"
"CNS-WHT-751P180SPPZ  Bowl With Cistern For Coupled WC With PP Soft Close Seat Cover, Hinges, Dual Flush Cistern Fitting, Fixing","6,500"
"Accessories And Accessories Set, Size: 410x660x810 mm, P Trap- 180 mm",
"CNS-WHT-755S220SPPZ  Bowl With Cistern For Coupled WC With PP Soft Close Seat Cover, Hinges, Dual Flush Cistern Fitting, Fixing","9,100"
"Accessories And Accessories Set, Size: 365x680x770 mm, S Trap- 220 mm",
"CNS-WHT-801 Wall Hung Basin With Fixing Accessories, Size: 560x415x200 mm","2,440"
"CNS-WHT-811 Wall Hung Basin With Fixing Accessories, Size: 565x450x195 mm","2,480"
"CNS-WHT-813 ""Wall Hung Basin With Fixing Accessories,","2,500"
"Size: 420x420x155 mm""",
"CNS-WHT-851P180SPP Single Piece WC With PP Soft Close Seat Cover, Hinges, Dual Flush Cistern Fitting, Fixing Accessories And","13,500"
"Accessories Set, Size: 380x700x665 mm, P Trap- 180 mm",
"CNS-WHT-851S300SPP Single Piece WC With PP Soft Close Seat Cover, Hinges, Dual Flush Cistern Fitting, Fixing Accessories And","13,500"
"Accessories Set, Size: 370x690x680 mm, S Trap- 300 mm",
"CNS-WHT-903 Table Top Basin, Size: 425x340x175 mm","2,090"
"CNS-WHT-905 Table Top Basin, Size: 420x420x155 mm","2,610"
"CNS-WHT-959JSPP Wall Hung WC With In Built Jet, PP Soft Close Seat Cover, Hinges, Accessories Set, Size: 370x540x410 mm","8,510"
"CNS-WHT-959SPP Wall Hung WC With PP Soft Close Seat Cover, Hinges, Accessories Set, Size: 370x540x410 mm","7,500"
"CNS-WHT-959UF Wall Hung WC With UF Soft Close Seat Cover, Hinges, Accessories Set, Size: 370x540x410 mm","8,800"
"CNS-WHT-961SPP Wall Hung WC With PP Soft Close Seat Cover, Hinges, Accessories Set, Size: 365x545x360 mm","6,870"
"CNS-WHT-961UF Wall Hung WC With UF Soft Close Seat Cover, Hinges, Accessories Set, Size: 365x545x360 mm","8,100"
"CNS-WHT-963UFSM Rimless Wall Hung WC With UF Soft Close Slim Seat Cover, Hinges, Accessories Set, Size: 380x515x360 mm","8,670"
