FLORENTINE,Unnamed: 0
Present Codes Description,NRP
FLS-WHT-5301 Full Pedestal For FLS-WHT-5801,"1,740"
"FLS-WHT-5353PPZ Rimless Bowl With Cistern For Extended Wall Hung WC With PP Soft Close Seat cover, Hinges, Dual Flush","11,000"
"Cistern Fitting, Accessories Set, Size: 380x650x730 mm",
"FLS-WHT-5601 Counter Top Basin, Size: 570x420x195 mm","6,800"
"FLS-WHT-5701 Under Counter Basin With Fixing Accessories, Size: 560x430x195 mm, Shape: Oval","3,050"
"FLS-WHT-5801 ""Wall Hung Basin With Fixing Accessories,","3,450"
"Size: 585x450x220 mm""",
"FLS-WHT-5931 ""Table Top Basin,","4,680"
"Size: 520x360x125 mm""",
"FLS-WHT-5935 ""Table Top Basin,","7,200"
"Size: 500x425x130 mm""",
"FLS-WHT-5953JPPSM Rimless Wall Hung WC With Inbuilt Jet, PP Soft Close Slim Seat Cover, Hinges, Accessories Set, Size:","10,420"
355x555x370 mm,
"FLS-WHT-5953JUFSM Rimless Wall Hung WC With Inbuilt Jet, UF Soft Close Slim Seat Cover, Hinges, Accessories Set, Size:","11,410"
355x555x370 mm,
"FLS-WHT-5953PPSM Rimless Wall Hung WC With PP Soft Close Slim Seat Cover, Hinges, Accessories Set, Size: 355x555x370 mm","9,020"
"FLS-WHT-5953UFSM Rimless Wall Hung WC With UF Soft Close Slim Seat Cover, Hinges, Accessories Set, Size: 355x555x370 mm","9,940"
FONTE,
Present Codes Description,NRP
FNS-WHT-40301 Full Pedestal For FNS-WHT-40801,"2,160"
FNS-WHT-40305 Half Pedestal With Fixing Accessories For FNS-WHT-40801,"1,750"
"FNS-WHT-40601 Counter Top Basin, Size: 570x420x180 mm","9,400"
"FNS-WHT-40701 Under Counter Basin With Fixing Accessories, Size: 605x410x200 mm, Shape: Rectangular","3,250"
"FNS-WHT-40801 ""Wall Hung Basin With Fixing Accessories, Size: 620x480x185 mm""","3,910"
"FNS-WHT-40931 ""Table Top Basin, Size: 500x415x200 mm""","5,430"
"FNS-WHT-40951UF Wall Hung WC With UF Soft Close Seat Cover, Hinges, Accessories Set, Size: 355x545x410 mm","16,300"
"F NS-WHT-40751P180UFSMZ Bowl With Cistern For Coupled Wc With Uf Soft Close Slim Seat Cover, Hinges, Fixing Accessories And","18,500"
"Accessories Set, Cistern Fittings, Size: 365X630x750 Mm, P Trap-180Mm",
"FNS-WHT-40751S220UFSMZ Bowl With Cistern For Coupled Wc With Uf Soft Close Slim Seat Cover, Hinges, Fixing Accessories And","18,500"
"Accessories Set, Cistern Fittings, Size: 365X630x750 Mm, S Trap-220Mm",
