,Unnamed: 0,BASE MODEL CEILING FAN,Unnamed: 1,Unnamed: 2
0,,,,Retailer
1,,,,Landing
2,,SKU,MRP,
3,,,,with
4,Efficio 900MM - (WHT/IVR/BRN),,4140,2739
5,Efficio 1050MM - (WHT/IVR/BRN),,4200,2780
6,Efficio 1200MM - (WHT/IVR/BRN/BLK),,4300,2842
7,Efficio 1400MM - (WHT/IVR/BRN),,4870,3221
8,Renesa 600MM - (WHT/IVR/BRN),,4470,2957
9,Renesa 1200MM - (WHT & BLK/BRN&BLK/BRN/IVR/IVR&BLK),,4750,3145
10,Renesa 1400MM - (WHT/IVR/BRN),,5180,3426
11,Studio 1200MM - (SND GRY/PRL WHT/MT GLDN/EARTH BRN),,5380,3491
12,Efficio+ 0900MM - (SND GRY/PRL WHT/GLDN/EARTH BRN),,5140,3336
13,Efficio+ 1200MM - (SND GRY/ PRL WHT/GLDN/EARTH BRN/PRL IVR),,5360,3547
14,Efficio+ 1400MM - (SND GRY/PRL WHT/GLDN/EARTH BRN),,5670,3680
15,Naveo 1200 MM- (GLSY BLK/GLSY BRN/GLSY WHT),,4690,3046
16,Naveo 900 MM- (GLSY BLK/GLSY BRN/GLSY WHT)**,,4270,2753
17,Ozeo 1200 MM**,,4060,2632
18,,PREMIUN MODEL CEILING FAN,,
19,Renesa Alpha 1400 MM- (FLSY BRN/GLSY WHT/GLSY IVR)**,,3161,3161
20,Renesa Alpha 1200 MM- (FLSY BRN/GLSY WHT/GLSY IVR),,4760,3071
21,Renesa Alpha 600 MM- (FLSY BRN/GLSY WHT/GLSY IVR)**,,4200,2727
22,Renesa+ 900MM - (PRL WHT/EARTH BRN),,5560,3613
23,Renesa+ 900MM - (GOLDEN OAK/NATURAL OAK),,6200,4028
24,Renesa+ 1200MM- (PRL WHT/EARTH BRN),,5730,3720
25,Renesa+ 1200MM - (NATURAL OAK/GOLDEN OAK),,6680,4336
26,Renesa+ 1400MM - (PRL WHT/EARTH BRN),,6740,4376
27,Renesa+ 1400MM - (GOLDEN OAK/NATURAL OAK),,7150,4643
28,Studio+ 1200MM  (E BRN/PRL WHT/SAND GREY),,6840,4444
29,Renesa Smart+ 1200mm - (PRL WHT/EARTH BRN),,8440,5478
30,Renesa Smart+ 1200mm - (NATURAL WHT OAK/GOLDEN OAK),,8690,5643
31,Studio Smart+ 1200MM  (E BRN/PRL WHT/SAND GREY)**,,8460,5495
